;;;;;;;;;;;;;x,,,,
NORMAL_WAR_DISMANTLE_NAME;$ORDER$$FIRST$ Война за разрушение $SECOND$ державы;Grande Guerre $ORDER$$FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ GrцЯer Krieg;Baza;Base:;Base:;Alap:;Zсkladna:;;;;;;;x;;;;;;;;;;;;;;,,,,
AGRESSION_WAR_DISMANTLE_NAME;$ORDER$ Война $FIRST$ агрессии;$ORDER$ Offensive Militaire $FIRST$;$ORDER$ $FIRST$ Angriffskrieg;Wojna $ORDER$$FIRST$-$SECOND$;Guerra $ORDER$$FIRST$-$SECOND$;$ORDER$ Guerra $FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ hсborъ;$ORDER$$FIRST$-$SECOND$ vсlka;;;;;;;x;;;;;;;;;;;;;;,,,,
punitive_effects;Унижение нации;Humiliation Nationale;Nationale Erniedrigung;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
punitive_effects_desc;Наша держава унижена победителями, а карательный эффект репараций негативно скажется на наших людях. ;;;;;;;;;;;;;x,,,
no_more_war;Нет войне!;Nous ne Voulons pas la Guerre;Wir Wьnschen Nicht Krieg;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
no_more_war_desc;Наши люди устали от войны.;;;;;;;;;;;;;x,,,
end_the_war;Война окончена.;La Guerre Doit Finir;Der Krieg Muss Beenden;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
end_the_war_desc;Враг разгромлен. Люди призывают нас заключить мир, даже если мы не получим все, что задумано.;;;;;;;;;;;;;x,,,
international_pariah;Государство - изгой.;Paria International;Internationales Ausgestossen;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
international_pariah_desc;Из-за нашей агрессивной политики мы стали государством - изгоем.;;;;;;;;;;;;;x,,,,
great_war;Тотальная война;Guerre Totale;GrцЯer Krieg;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
great_war_desc;Мы находимся в состоянии тотальной войны с нашими врагами. Мы должны встать плечом к плечу, либо рисковать разрушением всего нашего образа жизни.;;;;;;;;;;;;;x,,,
great_war2;Цель войны;Les Demandes de la Guerre;Die Nachfragen des Krieges;;;;;;;;;;;x,,,,
great_war2_desc;Нехватка насущного сводит военный энтузиазм наших лдей к минимуму.;;;;;;;;;;;;;x,,,,
great_war3;Все усилия напрасно?;Est-il Tout Pour Rien?;Ist Alles Fьr Nichts?;;;;;;;;;;;x,,,,
great_war3_desc;Если мы не закончим войну в ближайшее время, все пойдет очень плохо для нас.;;;;;;;;;;;;;x,,,
dismantle_cb;Разрушение державы;Grande Guerre;Gesamtkrieg;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
dismantle_cb_desc;Заставить §Yвеликую державу§W разрушить империю и выплатить репарации.;Obliger un autre зYpaysзW р se dщsarmer et р nous verser des compensations;Zwischen Sie ein anderes зYLandзW zur Abrьstung und zu Reparationszahlungen an uns.;;;;;;;;;;;x,,,,
dismantle_cb_short;Заставить государство $RECIPIENT$ разрушить их империю;Rщduire $RECIPIENT$;Reduzieren Sie die GrцЯe von $RECIPIENT$;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
dismantle_cb_setup;Заставить государство $RECIPIENT$ разрушить их империю;Rщduire $RECIPIENT$;Reduzieren Sie die GrцЯe von $RECIPIENT$;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
dismantle_cb_add;Разрушить империю;Grande Guerre;GrцЯer Krieg;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
dismantle_cb_add_desc;Заставить §Yвеликую державу§W разрушить империю и выплатить репарации;Obliger un autre зYpaysзW р se dщsarmer et р nous verser des compensations;Zwischen Sie ein anderes зYLandзW zur Abrьstung und zu Reparationszahlungen an uns.;;;;;;;;;;;x,,,,
dismantle_cb_add_short;Заставить государство $RECIPIENT$ разрушить их империю;Rщduire $RECIPIENT$;Reduzieren Sie die GrцЯe von $RECIPIENT$;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
dismantle_cb_add_setup;Заставить государство $RECIPIENT$ разрушить их империю;Rщduire $RECIPIENT$;Reduzieren Sie die GrцЯe von $RECIPIENT$;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
dismantle_cb_add_new;Разрушить империю;Grande Guerre;GrцЯer Krieg;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
dismantle_cb_add_new_desc;Заставить §Yвеликую державу§W разрушить империю и выплатить репарации;Obliger un autre зYpaysзW р se dщsarmer et р nous verser des compensations;Zwischen Sie ein anderes зYLandзW zur Abrьstung und zu Reparationszahlungen an uns.;;;;;;;;;;;x,,,,
dismantle_cb_add_new_short;Заставить государство $RECIPIENT$ разрушить их империю;Rщduire $RECIPIENT$;Reduzieren Sie die GrцЯe von $RECIPIENT$;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
dismantle_cb_add_new_setup;Заставить государство $RECIPIENT$ разрушить их империю;Rщduire $RECIPIENT$;Reduzieren Sie die GrцЯe von $RECIPIENT$;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
great_war_install_democracy;Установить демократию;Installez la dщmocratie;Verursachen Sie Demokratie;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
great_war_install_democracy_desc;Установить дружественный демократический режим в захваченной столице.;Install a зYfriendly democracyзW in the target country's capital;Install a зYfriendly democracyзW in the target country's capital;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
great_war_install_democracy_short;Установить демократический режим в государстве $RECIPIENT$;Install a friendly democracy in $RECIPIENT$;Install a friendly democracy in $RECIPIENT$;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,
