#;;X
COLONIAL_RANGE;Колониальная дистанция: §G+$VAL$§W;X
MODIFIER_LOCAL_SHIP_BUILD;Время строительства кораблей в провинции;X
CB_ALLOWED_ANNEX;Полное присоединение;X
CB_ALLOWED_ADD_TO_SPHERE;Присоединение к сфере;X
CB_ALLOWED_RELEASE_PUPPET;Освобождение вассала;X
CB_ALLOWED_STATUS_QUO;Возвращение к статусу-кво;X
CB_ALLOWED_TRANSFER_PROVINCES;Передача провинций;X
CB_ALLOWED_PRESTIGE;Снижение престижа;X
CB_ALLOWED_CONCESSION;Признание поражения;X
PROCEED;Принять;X
MAINTENANCE_DESC;Требуется товаров для работы:;X
MISSING_MAINTENANCE;Поскольку фабрике не хватает материалов, выпуск ею товаров сокращается на §R$PERC$§W.;X
PROCEED;Принять;X
TRADE_CONFIRM_DESC;Ручное управление торговли означает, что нам однажды может потребоваться взять заем, чтобы купить требуемый товар.;X
ENDGAME_HEADLINE;Конец игры;X
ENDGAME_DESC;Прошло сто судьбоносных лет, и теперь вы вступаете в современную эпоху. За это время мир изменился просто радикально. А что произошло с вашей страной?;X
NEEDS_BOUGHT;Ожидаемые нужды на сегодня:;X
TOTAL_NEEDS_BOUGHT;Ожидаемые затраты на нужды:;X
TOTAL_SOLD_FOR;Вчера мы произвели $NUM$ ед. товара §Y$GOOD$§W, которые были проданы за $CASH$¤.;X
COULDNT_AFFORD;Фабрика не смогла вчера приобрести все необходимые ей для производства материалы.;X
INPUT_LACKING;На рынке не хватает товара §Y$GOOD$§W, чтобы удовлетворить все потребности фабрики в материалах на производство.;X
OUTPUT_WASTED;$NUM$ из $PRODUCED$ ед. товара §Y$GOOD$§W не были проданы вчера.;X
TRADE_CONFIRM_DESC;Ручное управление торговли означает, что нам однажды может потребоваться взять заем, чтобы купить требуемый товар.;X
BUDGET_TAX_EFFICIENCY;Эффективность налогообложения: §Y$VALUE$%§W;X
BUDGET_TAX_EFFECT;Эффективная ставка налогообложения: §Y$VALUE$%§W;X
#added for russian version;;X
PROVINCEVIEW_CORES2;Нац. пров.:;X
Select;Выбрать;X
BUY;Покупать;X
SELL;Продавать;X
Maneuver;Маневренность;X
AUTOSAVING;Идет сохранение;X
MAP_SAVED;Карта сохранена;X
SCREENSHOT_TAKEN;Скриншот сделан;X
HAS_NO_UNION_TAG;Не существует державы;X
noculture;нет_культуры;X
act_1867_title;Акт о Британской Северной Америке 1867;X
act_1867_desc;Он учредил Доминион Канада, состоявший из четырёх колоний Британской империи: Онтарио и Квебека — бывшей Провинции Канада (или Соединённой Канады),— Нью-Брансуика и Новой Шотландии. Этот закон, включающий 147 статей, вводил в силу положения конституции современной Канады, и, с тех пор неоднократно исправлявшаяся, сегодня она по-прежнему действует.;X 
act_1871_title;Акт о Британской Северной Америке 1871;X
act_1871_desc;Акт о Британской Северной Америке 1871 (год 34-35 правления Виктории, гл. 28), изданный 29 июня 1871, подтверждает два закона, принятых Парламентом Канады: Акт 1869 о Северо-Западной территории и Акт о Манитобе 1870 — и разрешает создание дополнительных провинций на территориях, не входящих ни в одну провинцию. Он позволяет Канаде создавать новые провинции и территории, а также изменять границы провинций при согласии соответствующих провинций. Он также признаёт создание провинции Манитоба и включение в состав Канады Земли Руперта и Северо-Западной территории, что позволит канадскому Парламенту и законодательным собраниям Онтарио и Квебека расширить границы Онтарио и Квебека, чтобы присоединить часть этих новых территорий.;X 
australia_dominion_title;Австралийский союз;X
australia_dominion_desc;1 января 1901 года была образована Австралийская федерация на правах доминиона Британской Империи. Вступил в силу закон (ставший конституцией) о создании Австралийского Союза, объединились шесть колоний – Новый Южный Уэльс, Виктория, Квинсленд, Южная Австралия, Западная Австралия и Тасмания.;X
newzeland_dominion_title;Новозеландский доминион;X
newzeland_dominion_desc;В мае 1907, на Имперской Конференции, представители Новой Зеландии, подали прошение на имя короля, с просьбой присвоения им статуса доминиона. Прошение было принято, и уже 26 сентября был образован Новозеландский Доминион с фактически независимым управлением, собственной внутренней и внешней политикой.;X
southafrica_dominion_title;Акт о Южной Африке;X
southafrica_dominion_desc;На основании Акта о Южной Африке принятого Британским парламентом 31 мая 1910 года был образован Южно-Африканский Союз, включавший в себя четыре британских колонии: Капскую колонию, Натал, Колонию Оранжевой реки и Трансвааль. Сам ЮАС вошёл в Британскую империю на правах доминиона.;X
ireland_dominion_title;Англо-ирландский договор;X
ireland_dominion_desc;Англо-Ирландский договор (официальное название — Статьи соглашения по договору между Великобританией и Ирландией) — договор между правительством Соединённого королевства Великобритании и Ирландии и представителями самопровозглашённой Ирландской республики. Договор создал автономный доминион, Ирландское Свободное государство, в составе Британской империи, при условии, что Северная Ирландия, созданная Четвёртым актом о Гомруле 1920-го года (англ), может при желании выйти из его состава.;X
rus_court_reform_title;Судебный устав 1864 года;X
