csa_cores_title; izngnany Yankees from the land of the free South; X
csa_cores_desc; Now that the Yanks no longer boots tramples the free lands of the South, in the neighboring northern states began an active movement to join the Confederacy. Taking advantage of the situation, we will be able to overthrow these liberal idiots in Washington and restore the unity of the American nation!; X
dop_csa; Samterskaya rage; X
circassian; Circassians; X
sephardic; Sephardic; X
cossacian; Cossacks; X
welsh; Welsh; X
scottish; Scots; X
cornish; Cornish; X
maronitian; Maronites; X
montenegrian; Montenegrins; X
macedonian; Macedonians; X
osetian; Ossetians; X
avarian; Dagestanis; X
abkhazian; Abkhazians; X
caucasian; Caucasians; X
arabic; Arabs; X
indonesian; Indonesians; X
occitan; Occitans; X
breton; Bretons; X
norman; Normans; X
burgund; Burgundians; X
picardian; Pikardian; X
french; French; X
corsican; Corsicans; X
iranian_arian; Irano-Aryans; X
andean; Andean; X
soviet; Russians; X
nippon; Japanese; X
inkeri; Ingra; X
magreb; Magreb; X
ABK; Abkhazia; X
KOS; Kosovo; X
WHA; Wales; X
KER; Cornwall; X
LEB; Lebanon; X
GRA; Granada; X
BSQ; Basque Country; X
GAL; Galicia; X
MCD; Macedonia; X
ARA; Aragon; X
CAS; Castile; X
OSE; Ossetia-Alania; X
CRC; Circassia; X
ICH; Chechnya; X
DAG; Dagestan; X
ARB; Arab Caliphate; X
IDO; Indonesia; X
BHR; Bahrain; X
QAT; Qatar; X
SUD; Sudan; X
ERI; Eritrea; X
MAV; Mauritania; X
MAL; Mali; X
LIV; Libya; X
MLT; Malta; X
IDF; Ile-de-France; X
BRT; Brittany; X
NRM; Normandy; X
CHA; Champagne; X
BRG; Burgundy; X
COR; Corsica; X
OCC; Occitania; X
EZO; Ezo; X
TKD; Takeda; X
TKG; Tokugawa; X
CHO; Choshu; X
TOS; Tosa; X
SAC; Satsuma; X
RYU; Ryukyu; X
NRD; Severorusiya; X
ZLS; Zalesie; X
IDL; Idel-Ural; X
URA; Urals; X
SIB; Siberia; X
YAK; Yakutia; X
BKL; Transbaykal; X
NMR; Naryan-Mar; X
PRI; Far Eastern kingdom; X
INK; Ingria; X
GCL; Gran Colombia; X
MEN; Mentszyan; X
KAZ; Kazakhstan; X
KYR; Kyrgyzstan; X
TAJ; Tajikistan; X
UZB; Uzbekistan; X
TKM; Turkmenistan; X
TRK; Turkestan; X
DJI; Djibouti; X
IOR; Transjordan; X
SEN; Senegal; X
GAM; Gambia; X
SOM; Somalia; X
KEN; Kenya; X
MLD; Maldives; X
CEY; Ceylon; X
BEN; Bengal; X
GUY; Guyana; X
BLZ; Belize; X
SLS; Silesia; X
RHE; Confederation of the Rhine; X
PMR; Pomerania; X
BLK; Chernozem; X
ASS; Assam; X
MGR; Maghreb; X
KNM; Kanem-Bornu; X
AMZ; Amazonia; X
GRL; Greenland; X
FRR; Faroe Islands; X
TIR; Tyrol; X
RPL; Rzeczpospolita; X
DNB; Danubian Federation; X
BLT; Baltic Duchy; X
DUR; Durrani Empire; X
