act_1867_title; Act of British North America in 1867; X;;;;;;;;;;;
act_1867_desc; He established the Dominion of Canada, consisting of four colonies of the British Empire: Ontario and Quebec - the former Province of Canada (or Associated Canada) - New Brunswick and Nova Scotia. This law, which includes 147 articles, entered into force the provisions of the constitution of modern Canada, and has since been corrected several times, today it is still in force.; X;;;;;;;;;;;
act_1871_title; Act of British North America in 1871; X;;;;;;;;;;;
act_1871_desc; Act of British North America in 1871 (34-35 year reign of Victoria, ch. 28), issued June 29, 1871, confirms the two laws adopted by the Parliament of Canada: Act 1869 of the North-West Territory and Manitoba Act of 1870 - and to build additional provinces in areas outside of any one province. It allows you to create new Canadian provinces and territories, as well as to change the boundaries of the provinces with the consent of the respective provinces. It also recognizes the creation of Manitoba and the inclusion of Canada and Rupert's Land of North-Western Territory, which will allow the Canadian Parliament and the legislatures of Ontario and Quebec to expand the boundaries of Ontario and Quebec to join some of these new territories.; X;;;;;; ,,,,;
australia_dominion_title; Commonwealth of Australia; X;;;;;;;;;;;
australia_dominion_desc; January 1, 1901 Australian Federation was founded on the rights of the Dominion of the British Empire. Act came into force (which became the constitution) on the establishment of the Commonwealth of Australia, joined six colonies - New South Wales, Victoria, Queensland, South Australia, Western Australia and Tasmania.; X;;;;;;;;;;;
newzeland_dominion_title; New Zealand Dominion; X;;;;;;;;;;;
newzeland_dominion_desc; In May 1907, at the Imperial Conference, representatives of New Zealand, filed a petition to the king, asking them to assign the status of the Dominion. The petition was accepted, and on September 26 was formed Dominion of New Zealand with independent control in fact, its own domestic and foreign policy.; X;;;;;;;;;;;
newfoundland_dominion_title; Dominion of Newfoundland; X;;;;;;;;;;;
newfoundland_dominion_desc; In 1907, Newfoundland was granted independence, the region received the status of the Dominion; X;;;;;;;;;;;
southafrica_dominion_title; Act of South Africa; X;;;;;;;;;;;
southafrica_dominion_desc; On the basis of South Africa Act passed by British Parliament May 31, 1910 was established Union of South Africa, which included the four British colonies: Cape Colony, Natal, Orange River Colony and the Transvaal. Sam Union of South Africa entered the British Empire on the Rights of the Dominion.; X;;;;;;;;;;;
ireland_dominion_title; Anglo-Irish Treaty; X;;;;;;;;;;;
ireland_dominion_desc; Anglo-Irish Agreement (official name - The Articles of Agreement between the UK and Ireland) - an agreement between the Government of the United Kingdom of Great Britain and Ireland and representatives of the breakaway Republic of Ireland. The agreement created a self-dominion, the Irish Free State in the British Empire, provided that Northern Ireland, established the Fourth Home Rule Act of 1920 (English), may if they wish to get out of its composition.; X;;;;;; ,,,,;
rus_court_reform_title; trial statute in 1864; X;;;;;;;;;;;
rus_court_reform_desc; Charter introduced a unified system of judicial institutions on the basis of formal equality of all social groups before the law. Court sessions were held with stakeholders were held in public, and reports about them were published in the press. Litigants to hire lawyers to defend, had a law degree and not in the public service. The central element of reform - the introduction of trial by jury. Reform to ensure transparency, the adversarial proceedings and classless.; X;;;;;;;;;;;
zemstvo_reform_title; Zemstvo Reform, X,,,,,,,,,,;
zemstvo_reform_desc; reform was that the questions of the local economy, recovery of taxes, to approve the budget, basic education, medical and veterinary care is now entrusted elected institutions - district and provincial Zemstvo. Zemstvo council consisted of six people appointed by the zemstvo assemblies. Meetings were convened once a year, but in an emergency could be collected more often. Council to work on a permanent basis. Assembly gave the orders and control of their execution, and actually engaged in performing council decisions. Zemstvo assemblies can be compared with the local parliaments and councils - with governments., X,,,,,,,,,,;
zemstva; Zemstvo institutions, X,,,,,,,,,,;
zemstva_desc; Elected local government (zemstvo assemblies, Zemstvo boards). Unaware education, health, road construction, etc., X,,;;;;;;;;;
create_govement_duma_title; State Duma, X,,,,,,,,,,;
create_govement_duma_desc; Manifesto on August 6, 1905, Czar Nicholas II established the State Duma as a "special zakonosoveschatelnuyu establishment, to whom is given a preliminary design and a discussion of legislative proposals and consideration of the painting of public revenues and expenditures." Soon, after numerous protests, followed by a new manifesto on October 17, 1905, which established "a firm rule that no law could vospriyat force without the approval of the State Duma." So the thought of a deliberative body, turned to the legislature., X,,,,,,,,,,;
greek_project_title; Greek project; X;;;;;;;;;;;
greek_project_desc; Greek project was first formulated by Catherine II in a letter to the Austrian imperaturu. Its essence is that in case of an unconditional victory over the Turks and the capture of Constantinople, to create a new "Byzantine Empire».; X;;;;;;;;;;;
EVTNAME95100; Krakow Uprising; X;;;;;;;;;;;
EVTDESC95100; Cracow uprising of 1846, an uprising in Krakow against Austrian rule, and the feudal system. Occurred in the crisis of the feudal system, strengthen social and national oppression, recovery of the liberation struggle in the Polish lands, and the maturing of a revolutionary crisis in Europe. It was planned as part of a nationwide uprising of preparing for the Polish national liberation organizations led by the Polish democratic society. Having mastered the city, the rebels February 22 formed a National Government of the Polish Republic, which published his manifesto called on people to fight for national independence, proclaimed democratic rights, the abolition of feudal dues, transfer the ownership of the peasants of their land holdings. March 3 Revolutionary Krakow fell under the blows of the united forces of Imperial Russia and Austria. ; X;;;;;;;;;;;
EVTOPTA95100; For your and our freedom!; X;;;;;;;;;;;
EVTNAME95101; Krakow Uprising; X;;;;;;;;;;;
EVTDESC95101; Cracow uprising of 1846, an uprising in Krakow against Austrian rule, and the feudal system. Occurred in the crisis of the feudal system, strengthen social and national oppression, recovery of the liberation struggle in the Polish lands, and the maturing of a revolutionary crisis in Europe. It was planned as part of a nationwide uprising of preparing for the Polish national liberation organizations led by the Polish democratic society. Having mastered the city, the rebels February 22 formed a National Government of the Polish Republic, which published his manifesto called on people to fight for national independence, proclaimed democratic rights, the abolition of feudal dues, transfer the ownership of the peasants of their land holdings. March 3 Revolutionary Krakow fell under the blows of the united forces of Imperial Russia and Austria. ; X;;;;;;;;;;;
EVTOPTA95101; destroy the rebels and to eliminate the republic!; X;;;;;;;;;;;
EVTOPTB95101; Let them do what they want; X;;;;;;;;;;;
EVTNAME95180; abolition of the sultanate; X;;;;;;;;;;;
EVTDESC95180; for our country fell on hard times, I have lost all of the borderlands. It is time to abolish the Turkish empire, and to proclaim republic natsonalnuyu.; X;;;;;;;;;;;
EVTOPTA95180; Long live the republic!; X;;;;;;;;;;;
EVTNAME95150; Great Siberian Way; X;;;;;;;;;;;
EVTDESC95150; 5 (18) October 1916, starting the bridge over the Amur River near Khabarovsk was completed the construction of the Trans-Siberian Railway. This railway connecting Moscow and the major east-Siberian and Far Eastern industrial cities in Russia and was the longest in the world.; X;;;;;;;;;;;
EVTOPTA95150; well; X;;;;;;;;;;;
EVTNAME95151; Battleship Potemkin; X;;;;;;;;;;;
